project,bug_id,flexeme_exists,smartcommit_exists
Math,26,True,True
Cli,38,True,True
JacksonDatabind,53,True,True
Math,3,True,True
Time,16,True,True
Gson,4,True,True
Mockito,3,False,True
Closure,78,True,True
Closure,171,True,True
Math,28,True,True
Closure,53,True,True
Mockito,7,False,True
Time,24,True,True
Collections,17,False,False
Jsoup,91,True,True
Jsoup,70,True,True
Math,73,True,True
Lang,54,True,True
Lang,42,True,True
Jsoup,31,True,True
Collections,10,False,False
Closure,49,True,True
JacksonDatabind,101,True,True
Jsoup,53,True,True
Math,57,True,True
Math,49,True,True
Jsoup,7,True,False
Mockito,30,False,True
Closure,119,True,True
Math,7,True,True
Math,65,True,True
Lang,25,False,True
Closure,46,True,True
Jsoup,84,True,True
Closure,35,True,True
Lang,24,True,True
Cli,31,True,True
Jsoup,1,True,True
Collections,21,False,False
Closure,4,True,True
JacksonDatabind,46,True,True
Closure,65,False,True
JxPath,21,True,True
JxPath,17,True,True
JacksonDatabind,28,True,True
Closure,134,True,True
Time,9,True,True
Closure,172,True,True
JacksonDatabind,77,True,True
Csv,7,True,True
Closure,20,True,True
Cli,3,True,True
Jsoup,85,False,True
Math,36,True,True
JacksonCore,14,True,True
JacksonCore,15,True,True
JacksonCore,12,True,True
JacksonDatabind,71,False,True
JacksonDatabind,19,True,True
Jsoup,13,True,True
JxPath,18,True,True
JacksonDatabind,109,True,True
Lang,20,True,True
Collections,25,False,True
JacksonDatabind,42,False,True
Closure,38,True,True
JacksonCore,4,True,True
JacksonDatabind,32,False,True
Lang,49,True,True
Closure,143,True,True
JacksonDatabind,59,True,True
Math,16,True,True
Mockito,27,False,True
Jsoup,41,True,True
Jsoup,87,True,True
Jsoup,19,True,True
Lang,7,True,True
Closure,61,True,True
JacksonDatabind,41,True,True
Jsoup,92,True,True
Cli,25,False,True
Closure,168,True,True
Closure,158,True,True
Closure,5,True,True
Time,27,True,True
JacksonDatabind,36,True,True
Compress,18,True,True
Compress,32,True,True
Jsoup,66,True,True
JacksonDatabind,97,True,True
JacksonDatabind,106,True,True
JacksonDatabind,95,True,True
Math,12,True,True
JxPath,10,True,True
Collections,5,False,False
JacksonDatabind,26,True,True
Cli,5,True,True
Math,84,True,True
Jsoup,81,True,True
Gson,2,False,True
Math,14,True,True
Time,7,True,True
Closure,167,True,True
JacksonDatabind,7,True,True
Closure,24,True,True
Lang,48,False,True
Closure,50,True,True
Closure,89,True,True
JacksonDatabind,51,True,True
JacksonDatabind,13,True,True
Csv,13,True,True
JacksonDatabind,103,True,True
Math,92,True,True
Collections,2,False,False
Collections,22,False,False
Closure,166,True,True
Jsoup,37,True,False
Compress,13,True,True
Collections,20,False,False
Math,18,True,True
Math,30,True,True
Jsoup,27,True,True
JacksonDatabind,2,True,False
JacksonDatabind,94,True,True
Closure,148,True,True
Closure,79,True,True
Closure,15,True,True
JacksonDatabind,61,True,True
Closure,160,True,True
Closure,90,True,True
Closure,57,True,True
Math,96,True,True
Time,23,True,True
JacksonDatabind,96,True,False
Closure,116,True,True
Collections,12,False,False
JxPath,9,True,True
JacksonCore,17,True,True
Math,37,True,True
Time,10,True,True
Math,40,True,True
