project,bug_id,fix_lines,nonfix_lines
Cli,1,98,63
Cli,2,54,2
Cli,3,16,23
Cli,4,25,1
Cli,5,67,0
Cli,6,0,0
Cli,7,4,0
Cli,8,14,0
Cli,9,39,0
Cli,10,25,0
Cli,11,18,0
Cli,12,59,25
Cli,13,14,20
Cli,14,72,7
Cli,15,132,20
Cli,16,142,27
Cli,17,16,40
Cli,18,14,32
Cli,19,19,0
Cli,20,26,2
Cli,21,94,67
Cli,22,18,24
Cli,23,17,0
Cli,24,47,0
Cli,25,27,0
Cli,26,33,27
Cli,27,59,25
Cli,28,6,0
Cli,29,10,4
Cli,30,77,12
Cli,31,24,22
Cli,32,28,14
Cli,33,38,16
Cli,34,26,20
Cli,35,28,7
Cli,36,111,3
Cli,37,64,5
Cli,38,27,3
Cli,39,29,18
Cli,40,9,3
Closure,1,29,10
Closure,2,16,8
Closure,3,55,9
Closure,4,50,19
Closure,5,10,9
Closure,6,55,50
Closure,7,48,3
Closure,8,10,6
Closure,9,6,6
Closure,10,7,38
Closure,11,31,5
Closure,12,31,13
Closure,13,68,6
Closure,14,12,10
Closure,15,12,1
Closure,16,43,13
Closure,17,24,3
Closure,18,23,1
Closure,19,9,2
Closure,20,4,8
Closure,21,26,57
Closure,22,30,53
Closure,23,12,7
Closure,24,16,25
Closure,25,31,4
Closure,26,41,3
Closure,27,98,6
Closure,28,20,21
Closure,29,63,29
Closure,30,63,7
Closure,31,15,1
Closure,32,44,38
Closure,33,51,2
Closure,34,29,52
Closure,35,32,47
Closure,36,25,10
Closure,37,40,3
Closure,38,7,4
Closure,39,28,0
Closure,40,38,4
Closure,41,40,11
Closure,42,21,2
Closure,43,48,27
Closure,44,7,5
Closure,45,26,7
Closure,46,69,13
Closure,47,75,22
Closure,48,22,45
Closure,49,383,37
Closure,50,29,6
Closure,51,8,2
Closure,52,16,0
Closure,53,8,36
Closure,54,83,69
Closure,55,19,11
Closure,56,27,10
Closure,57,18,6
Closure,58,8,4
Closure,59,9,0
Closure,60,155,36
Closure,61,40,2
Closure,62,19,3
Closure,63,0,0
Closure,64,20,6
Closure,65,9,4
Closure,66,12,1
Closure,67,90,4
Closure,68,12,4
Closure,69,52,9
Closure,70,53,0
Closure,71,11,13
Closure,72,14,48
Closure,73,8,0
Closure,74,53,10
Closure,75,8,17
Closure,76,103,80
Closure,77,7,0
Closure,78,4,6
Closure,79,43,8
Closure,80,5,1
Closure,81,568,217
Closure,82,17,0
Closure,83,24,1
Closure,84,106,5
Closure,85,55,17
Closure,86,64,4
Closure,87,22,21
Closure,88,109,21
Closure,89,72,11
Closure,90,30,9
Closure,91,26,2
Closure,92,17,2
Closure,93,0,0
Closure,94,84,4
Closure,95,42,46
Closure,96,13,10
Closure,97,8,4
Closure,98,51,50
Closure,99,20,13
Closure,100,103,101
Closure,101,11,6
Closure,102,23,9
Closure,103,63,9
Closure,104,14,6
Closure,105,28,2
Closure,106,26,7
Closure,107,6,21
Closure,108,20,5
Closure,109,19,9
Closure,110,42,26
Closure,111,5,2
Closure,112,51,8
Closure,113,9,10
Closure,114,14,11
Closure,115,137,6
Closure,116,140,3
Closure,117,44,7
Closure,118,42,6
Closure,119,19,0
Closure,120,14,0
Closure,121,8,32
Closure,122,30,3
Closure,123,4,4
Closure,124,6,8
Closure,125,19,2
Closure,126,21,10
Closure,127,79,37
Closure,128,9,0
Closure,129,20,3
Closure,130,20,0
Closure,131,5,6
Closure,132,30,0
Closure,133,6,16
Closure,134,120,276
Closure,135,72,128
Closure,136,150,48
Closure,137,216,125
Closure,138,75,112
Closure,139,111,240
Closure,140,53,365
Closure,141,219,238
Closure,142,65,398
Closure,143,32,48
Closure,144,401,45
Closure,145,44,60
Closure,146,47,727
Closure,147,34,122
Closure,148,204,237
Closure,149,29,385
Closure,150,34,493
Closure,151,35,23
Closure,152,26,39
Closure,153,47,149
Closure,154,57,48
Closure,155,214,24
Closure,156,97,57
Closure,157,211,59
Closure,158,127,53
Closure,159,30,75
Closure,160,58,207
Closure,161,7,105
Closure,162,60,112
Closure,163,252,153
Closure,164,63,79
Closure,165,39,29
Closure,166,22,47
Closure,167,66,94
Closure,168,17,121
Closure,169,213,61
Closure,170,20,42
Closure,171,31,28
Closure,172,37,6
Closure,173,71,5
Closure,174,40,26
Closure,175,175,17
Closure,176,39,44
Codec,1,40,6
Codec,2,45,0
Codec,3,10,15
Codec,4,2,9
Codec,5,58,1
Codec,6,24,42
Codec,7,18,0
Codec,8,68,67
Codec,9,10,0
Codec,10,160,3
Codec,11,156,125
Codec,12,135,21
Codec,13,92,32
Codec,14,643,504
Codec,15,26,1
Codec,16,10,11
Codec,17,12,11
Codec,18,31,1
Collections,1,0,0
Collections,2,0,0
Collections,3,0,0
Collections,4,0,0
Collections,5,0,0
Collections,6,0,0
Collections,7,0,0
Collections,8,0,0
Collections,9,0,0
Collections,10,0,0
Collections,11,0,0
Collections,12,0,0
Collections,13,0,0
Collections,14,0,0
Collections,15,0,0
Collections,16,0,0
Collections,17,0,0
Collections,18,0,0
Collections,19,0,0
Collections,20,0,0
Collections,21,0,0
Collections,22,0,0
Collections,23,0,0
Collections,24,0,0
Collections,25,80,6
Collections,26,40,3
Collections,27,45,16
Collections,28,73,4
Compress,1,149,32
Compress,2,32,37
Compress,3,85,23
Compress,4,11,10
Compress,5,137,5
Compress,6,19,8
Compress,8,87,62
Compress,9,67,13
Compress,10,25,10
Compress,11,45,4
