project,bug_id,smartcommit_rand_index,flexeme_rand_index,files_updated,test_files_updated,hunks,average_hunk_size,lines_updated
Cli,1,0.5180124223602485,0.4816518023039762,3.0,1.0,19.0,8.473684210526315,161.0
Cli,20,0.8624338624338624,0.2232277526395173,2.0,1.0,5.0,5.6,28.0
Cli,27,0.6503155479059094,0.4517171717171717,4.0,0.0,9.0,9.333333333333334,84.0
Cli,9,0.7624831309041835,0.2722323049001814,3.0,2.0,5.0,7.8,39.0
Closure,102,0.5907258064516129,0.4759358288770053,4.0,1.0,7.0,4.571428571428571,32.0
Closure,134,0.6237949111366833,0.5423211708925995,32.0,6.0,87.0,4.551724137931035,396.0
Closure,136,0.5276624109111419,0.44385137051649,8.0,4.0,23.0,8.608695652173912,198.0
Closure,13,0.6908552388004443,0.7684210526315789,,,,,
Closure,166,0.5592497868712702,0.4984649122807018,6.0,1.0,10.0,6.9,69.0
Closure,16,0.637012987012987,0.4570621468926553,3.0,2.0,7.0,8.0,56.0
Closure,20,0.5151515151515151,0.5909090909090909,2.0,1.0,3.0,4.0,12.0
Closure,24,0.5121951219512195,0.4814207650273224,2.0,1.0,6.0,6.833333333333333,41.0
Closure,36,0.838655462184874,0.5563025210084034,,,,,
Closure,37,0.7895902547065338,0.3427318295739348,3.0,1.0,4.0,10.75,43.0
Closure,3,0.7544642857142857,0.5526777875329236,2.0,1.0,6.0,10.666666666666666,64.0
Closure,48,0.8100407055630936,0.5514485514485514,2.0,1.0,9.0,7.444444444444445,67.0
Closure,50,0.7075630252100841,0.5647840531561462,,,,,
Closure,58,0.5151515151515151,0.5380116959064327,,,,,
Closure,70,0.2089985486211901,0.5515151515151515,3.0,2.0,12.0,4.416666666666667,53.0
Closure,80,0.6666666666666666,0.6666666666666666,2.0,1.0,4.0,1.5,6.0
Closure,89,0.929473993535116,0.4898656898656898,,,,,
Closure,8,0.5,0.477124183006536,,,,,
Closure,90,0.6369770580296896,0.5128205128205128,,,,,
Closure,94,0.8714733542319749,0.49524364201126,3.0,2.0,8.0,11.0,88.0
Codec,17,0.7628458498023716,0.5714285714285714,3.0,1.0,8.0,2.875,23.0
Compress,10,1.0,1.0,,,,,
Compress,15,1.0,0.2915214866434378,2.0,1.0,3.0,8.666666666666666,26.0
Compress,17,0.8245967741935484,0.5049786628733998,3.0,1.0,5.0,6.4,32.0
Compress,29,1.0,1.0,,,,,
Compress,32,1.0,0.5786290322580645,3.0,1.0,4.0,7.75,31.0
Compress,34,1.0,1.0,,,,,
Compress,35,0.6797385620915033,0.38,4.0,0.0,4.0,4.5,18.0
Compress,6,0.8575498575498576,0.4494623655913978,3.0,1.0,6.0,4.5,27.0
Csv,1,0.7428571428571429,0.8078817733990148,2.0,1.0,6.0,3.5,21.0
Csv,5,0.7523809523809524,0.3675213675213675,2.0,1.0,3.0,5.0,15.0
Csv,6,1.0,1.0,,,,,
Gson,16,0.490566037735849,0.4972776769509981,,,,,
Gson,4,0.7797202797202797,0.7393162393162394,4.0,2.0,28.0,5.142857142857143,144.0
Gson,7,0.5671497584541063,0.5292207792207793,3.0,2.0,4.0,11.5,46.0
JacksonCore,6,0.5714285714285714,0.6111111111111112,3.0,0.0,4.0,7.0,28.0
